money,clicks,impressions,people_who_match
73529.37,63214,584264,People who like Black Matters
73529.37,63214,584264,Friends of connections: Friends of people who are connected to Black Matters
33613.65,105559,678859,People who like Don't Shoot
33613.65,105559,678859,Friends of connections: Friends of people who are connected to Don't Shoot
30368.65,22766,147459,People who like Being Patriotic
30368.65,22766,147459,Friends of connections: Friends of people who are connected to Being Patriotic
28239.93,4437,188417,Multicultural Affinity: African American (US)
18823.94,15060,119031,People who like LGBT United
18823.94,15060,119031,Friends of connections: Friends of people who are connected to LGBT United
5586.68,1156,10591,People who like Heart of Texas
5586.68,1156,10591,Friends of connections: Friends of people who are connected to Heart of Texas
5191.25,4173,39788,People who like Blacktivist
5191.25,4173,39788,Friends of connections: Friends of people who are connected to Blacktivist
4158.93,2975,21396,People who like United Muslims of America
4158.93,2975,21396,Friends of connections: Friends of people who are connected to United Muslims of America
2112.44,789,9067,Friends of connections: Friends of people who are connected to Williams&Ka|vin
1683.12,803,7462,People who like Williams&Ka|vin
1585.51,291,5441,People who like Williams&Kalvin
1299.99,2633,15674,People who like Stop A.l.
1299.99,2633,15674,Friends of connections: Friends of people who are connected to Stop A.l.
1176.49,4584,21635,People who like Stop A.|.
1176.49,4584,21635,Friends of connections: Friends of people who are connected to Stop A.|.
1056.19,261,3369,Friends of connections: Friends of people who are connected to Williams&Kalvin
1000.00,644,4943,People who like Born Liberal
1000.00,644,4943,Friends of connections: Friends of people who are connected to Born Liberal
1000.00,14,39,People who like Secured Borders
1000.00,14,39,Friends of connections: Friends of people who are connected to Secured Borders
500.00,657,5240,People who like Memopolis
500.00,657,5240,Friends of connections: Friends of people who are connected to Memopolis
113.19,26,188,People who like BM
113.19,26,188,Friends of connections: Friends of people who are connected to BM
100.00,44,467,Friends of connections: Friends of people who are connected to Williams&KaIvin
